domain,dataset,config,K,attention_encoding,scale,scheduler,resolution,epochs,n_runs,degenerate,weighted_accuracy_mean,weighted_accuracy_std,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std,mean_auc_mean,mean_auc_std,kept_source,n_duplicates,collapsed_groups
Medical,pathmnist,"K4+AE, micro",4,True,micro,cosine,28,50,1,False,0.9027855153203342,,0.9000216693823504,,0.8786473728265753,,0.988466800318998,,results_old_backbone/pathmnist_k4_attenc_micro/summary.json,0,
Medical,pathmnist,"no-quantum, micro",1,False,micro,cosine,28,50,1,False,0.8965181058495821,,0.8915380477154405,,0.8645033303925397,,0.9854115830129478,,results_old_backbone/pathmnist_no_quantum_micro/summary.json,0,
Medical,pathmnist,no-quantum,1,False,small,cosine,28,50,1,False,0.8948467966573816,,0.8908639970176183,,0.8676511796107078,,0.98760869347628,,results_old_backbone/pathmnist_no_quantum/summary.json,0,
Medical,pathmnist,"K4, micro",4,False,micro,cosine,28,50,1,False,0.8881615598885794,,0.8872006359696668,,0.8652436369364631,,0.9836765335283424,,results_old_backbone/pathmnist_k4_micro/summary.json,0,
Medical,pathmnist,K4,4,False,small,cosine,28,50,1,False,0.8887186629526462,,0.8868880116457739,,0.8651168025562895,,0.9860293363807792,,results_old_backbone/pathmnist_k4/summary.json,0,
Medical,pathmnist,"no-quantum, micro, onecycle, cutmix1.0+mixup0.8",1,False,micro,onecycle,28,50,1,False,0.8837047353760445,,0.8788873861486478,,0.8524976427269578,,0.9881698262016628,,results_combinations/pathmnist_no_quantum_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Medical,pathmnist,"K4+AE, micro, onecycle, cutmix1.0+mixup0.8",4,True,micro,onecycle,28,50,1,False,0.8764623955431755,,0.8763784426392623,,0.854518436780663,,0.9885999393539572,,results_combinations/pathmnist_k4_attenc_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Medical,pathmnist,K4+AE,4,True,small,cosine,28,50,1,False,0.8803621169916435,,0.8751962751950342,,0.8507642387500209,,0.9833190007288332,,results_old_backbone/pathmnist_k4_attenc/summary.json,0,
