experiment_group,dataset,folder_name,quantum_heads_K,attention_encoding,no_quantum,scale,scheduler,cutmix_alpha,mixup_alpha,resolution,n_runs,best_seed_idx,weighted_accuracy_mean,weighted_accuracy_std,weighted_accuracy_min,weighted_accuracy_max,weighted_f1_mean,weighted_f1_std,weighted_f1_min,weighted_f1_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,mean_auc_mean,mean_auc_std,mean_auc_min,mean_auc_max,source_path
results,breastmnist,breastmnist,,False,False,,,,,,10,5,0.8128205128205128,0.016495947919332274,0.782051282051282,0.8269230769230769,0.8137689729995307,0.014444554549492254,0.7896189458689459,0.8308388444135051,0.7652474907058353,0.017517581710625424,0.7415424082090749,0.790562378797673,0.8267543859649124,0.013571231506885327,0.808688387635756,0.8558897243107769,results/breastmnist/summary.json
results_300ep,breastmnist,breastmnist,,False,False,,,,,,1,0,0.8012820512820513,,0.8012820512820513,0.8012820512820513,0.8105777717428203,,0.8105777717428203,0.8105777717428203,0.7753518836809588,,0.7753518836809588,0.7753518836809588,0.8982873851294904,,0.8982873851294904,0.8982873851294904,results_300ep/breastmnist/summary.json
results_combinations,breastmnist,breastmnist_k4_attenc_micro_onecycle_cutmix1.0_mixup0.8_ra2_9,4,True,False,micro,onecycle,1.0,0.8,,1,0,0.8205128205128205,,0.8205128205128205,0.8205128205128205,0.8267450142450142,,0.8267450142450142,0.8267450142450142,0.7893518518518519,,0.7893518518518519,0.7893518518518519,0.9152046783625731,,0.9152046783625731,0.9152046783625731,results_combinations/breastmnist_k4_attenc_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json
results_parallel,breastmnist,breastmnist_k4,4,False,False,,,,,,1,0,0.8076923076923077,,0.8076923076923077,0.8076923076923077,0.7964743589743589,,0.7964743589743589,0.7964743589743589,0.7291666666666667,,0.7291666666666667,0.7291666666666667,0.8036758563074353,,0.8036758563074353,0.8036758563074353,results_parallel/breastmnist_k4/summary.json
results,cifar10,cifar10,,False,False,,,,,,10,5,0.7842500000000001,0.0037161060862742307,0.7769,0.7896,0.785704493160541,0.00349554195301998,0.7792976333308107,0.7904366073408071,0.785704493160541,0.0034955419530199945,0.7792976333308106,0.790436607340807,0.9745320599999999,0.0008418467870210056,0.9732762888888888,0.9756617666666667,results/cifar10/summary.json
results_attenc,cifar10,cifar10_attenc,,True,False,,,,,,1,0,0.7902,,0.7902,0.7902,0.7920596048209093,,0.7920596048209093,0.7920596048209093,0.7920596048209092,,0.7920596048209092,0.7920596048209092,0.9753137555555556,,0.9753137555555556,0.9753137555555556,results_attenc/cifar10_attenc/summary.json
results_cifar_sweep,cifar10,cifar10_k2,2,False,False,,,,,,1,0,0.8339,,0.8339,0.8339,0.8345038013825838,,0.8345038013825838,0.8345038013825838,0.8345038013825838,,0.8345038013825838,0.8345038013825838,0.9835785555555555,,0.9835785555555555,0.9835785555555555,results_cifar_sweep/cifar10_k2/summary.json
results_cifar_sweep,cifar10,cifar10_k4,4,False,False,,,,,,1,0,0.8383,,0.8383,0.8383,0.8380348996881266,,0.8380348996881266,0.8380348996881266,0.8380348996881267,,0.8380348996881267,0.8380348996881267,0.9838392111111111,,0.9838392111111111,0.9838392111111111,results_cifar_sweep/cifar10_k4/summary.json
results_cifar_sweep,cifar10,cifar10_k8,8,False,False,,,,,,1,0,0.8382,,0.8382,0.8382,0.8391677599764944,,0.8391677599764944,0.8391677599764944,0.8391677599764943,,0.8391677599764943,0.8391677599764943,0.9839053666666666,,0.9839053666666666,0.9839053666666666,results_cifar_sweep/cifar10_k8/summary.json
results_combinations,cifar10,cifar10_k4_micro_onecycle_cutmix1.0_mixup0.8_ra2_9,4,False,False,micro,onecycle,1.0,0.8,,1,0,0.8461,,0.8461,0.8461,0.8464337239288235,,0.8464337239288235,0.8464337239288235,0.8464337239288238,,0.8464337239288238,0.8464337239288238,0.9857905666666668,,0.9857905666666668,0.9857905666666668,results_combinations/cifar10_k4_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json
results_combinations,cifar10,cifar10_k8_micro_onecycle_cutmix1.0_mixup0.8_ra2_9,8,False,False,micro,onecycle,1.0,0.8,,1,0,0.8431,,0.8431,0.8431,0.8439580163781418,,0.8439580163781418,0.8439580163781418,0.8439580163781418,,0.8439580163781418,0.8439580163781418,0.9851794222222221,,0.9851794222222221,0.9851794222222221,results_combinations/cifar10_k8_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json
results_combinations,cifar10,cifar10_micro_onecycle_cutmix1.0_mixup0.8_ra2_9,,False,False,micro,onecycle,1.0,0.8,,1,0,0.8406,,0.8406,0.8406,0.8418415411903568,,0.8418415411903568,0.8418415411903568,0.8418415411903568,,0.8418415411903568,0.8418415411903568,0.9854622555555554,,0.9854622555555554,0.9854622555555554,results_combinations/cifar10_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json
results_combinations,cifar10,cifar10_r224_micro_onecycle_cutmix1.0_mixup0.8_ra2_9,,False,False,micro,onecycle,1.0,0.8,224,1,0,0.8802,,0.8802,0.8802,0.8797311757138998,,0.8797311757138998,0.8797311757138998,0.8797311757138997,,0.8797311757138997,0.8797311757138997,0.9906523222222223,,0.9906523222222223,0.9906523222222223,results_combinations/cifar10_r224_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json
results_kcompare,cifar10,cifar10,,False,False,,,,,,5,1,0.81882,0.003774519837012379,0.8135,0.8229,0.8201727692636137,0.0037588600829087165,0.8146884390263189,0.8242120704987485,0.8201727692636137,0.0037588600829087508,0.8146884390263189,0.8242120704987487,0.9812489066666666,0.0005059776333685288,0.9809010888888888,0.9821219777777779,results_kcompare/cifar10/summary.json
results_kcompare,cifar10,cifar10_k10_attenc,10,True,False,,,,,,1,0,0.8357,,0.8357,0.8357,0.8370117184044715,,0.8370117184044715,0.8370117184044715,0.8370117184044714,,0.8370117184044714,0.8370117184044714,0.9832583444444444,,0.9832583444444444,0.9832583444444444,results_kcompare/cifar10_k10_attenc/summary.json
results_kcompare,cifar10,cifar10_k8,8,False,False,,,,,,5,3,0.8321200000000001,0.004443197047172245,0.8247,0.8363,0.8331644556312396,0.0043183864453057415,0.8260894526093323,0.8372718586510426,0.8331644556312396,0.00431838644530578,0.8260894526093322,0.8372718586510425,0.9828171888888889,0.0005711690441866107,0.9821375777777778,0.9835728222222222,results_kcompare/cifar10_k8/summary.json
results_parallel,cifar10,cifar10,,False,False,,,,,,1,0,0.7824,,0.7824,0.7824,0.7832878529337078,,0.7832878529337078,0.7832878529337078,0.7832878529337078,,0.7832878529337078,0.7832878529337078,0.9748747555555555,,0.9748747555555555,0.9748747555555555,results_parallel/cifar10/summary.json
results_parallel,cifar10,cifar10_k4,4,False,False,,,,,,1,0,0.8016,,0.8016,0.8016,0.8028210171639208,,0.8028210171639208,0.8028210171639208,0.802821017163921,,0.802821017163921,0.802821017163921,0.9779418555555557,,0.9779418555555557,0.9779418555555557,results_parallel/cifar10_k4/summary.json
results_scale,cifar10,cifar10,,False,False,,,,,,1,0,0.8151,,0.8151,0.8151,0.8162301869157828,,0.8162301869157828,0.8162301869157828,0.8162301869157826,,0.8162301869157826,0.8162301869157826,0.9800873833333332,,0.9800873833333332,0.9800873833333332,results_scale/cifar10/summary.json
results_scale,cifar10,cifar10_large,,False,False,large,,,,,1,0,0.8912,,0.8912,0.8912,0.8919367871029968,,0.8919367871029968,0.8919367871029968,0.8919367871029967,,0.8919367871029967,0.8919367871029967,0.9897495944444443,,0.9897495944444443,0.9897495944444443,results_scale/cifar10_large/summary.json
results_scale,cifar10,cifar10_medium,,False,False,medium,,,,,1,0,0.8385,,0.8385,0.8385,0.8398982619696787,,0.8398982619696787,0.8398982619696787,0.8398982619696787,,0.8398982619696787,0.8398982619696787,0.9834792166666666,,0.9834792166666666,0.9834792166666666,results_scale/cifar10_medium/summary.json
results_scale_k4,cifar10,cifar10_k4_large,4,False,False,large,,,,,1,0,0.8955,,0.8955,0.8955,0.8959263363537011,,0.8959263363537011,0.8959263363537011,0.895926336353701,,0.895926336353701,0.895926336353701,0.9887851388888891,,0.9887851388888891,0.9887851388888891,results_scale_k4/cifar10_k4_large/summary.json
results,cifar100,cifar100,,False,False,,,,,,10,4,0.39049999999999996,0.004712866549257588,0.3842,0.4009,0.3650467137932494,0.005007956359448756,0.3581628342179916,0.3760054843535718,0.36504671379324943,0.005007956359448751,0.3581628342179916,0.3760054843535718,0.9531622924242423,0.0008432153948743024,0.9514174545454547,0.9540823686868687,results/cifar100/summary.json
results_300ep,cifar100,cifar100,,False,False,,,,,,1,0,0.533,,0.533,0.533,0.5211685205576642,,0.5211685205576642,0.5211685205576642,0.5211685205576643,,0.5211685205576643,0.5211685205576643,0.9691577575757577,,0.9691577575757577,0.9691577575757577,results_300ep/cifar100/summary.json
results_cifar100_k1,cifar100,cifar100,,False,False,,,,,,1,0,0.5,,0.5,0.5,0.4856542480907371,,0.4856542480907371,0.4856542480907371,0.4856542480907372,,0.4856542480907372,0.4856542480907372,0.9675055656565656,,0.9675055656565656,0.9675055656565656,results_cifar100_k1/cifar100/summary.json
results_cifar100_k1,cifar100,cifar100_attenc,,True,False,,,,,,1,0,0.442,,0.442,0.442,0.41968744970791233,,0.41968744970791233,0.41968744970791233,0.4196874497079122,,0.4196874497079122,0.4196874497079122,0.9601434494949495,,0.9601434494949495,0.9601434494949495,results_cifar100_k1/cifar100_attenc/summary.json
results_cifar100_k4,cifar100,cifar100_k4,4,False,False,,,,,,1,0,0.4786,,0.4786,0.4786,0.4629965203964247,,0.4629965203964247,0.4629965203964247,0.46299652039642475,,0.46299652039642475,0.46299652039642475,0.9633397272727273,,0.9633397272727273,0.9633397272727273,results_cifar100_k4/cifar100_k4/summary.json
results_cifar100_k4,cifar100,cifar100_k4_attenc,4,True,False,,,,,,1,0,0.4889,,0.4889,0.4889,0.47545444001776105,,0.47545444001776105,0.47545444001776105,0.47545444001776105,,0.47545444001776105,0.47545444001776105,0.9634175454545455,,0.9634175454545455,0.9634175454545455,results_cifar100_k4/cifar100_k4_attenc/summary.json
