dataset,model,ablation,scale,quantum_heads_K,attention_encoding,scheduler,cutmix_alpha,mixup_alpha,n_runs,weighted_accuracy_mean,weighted_accuracy_std,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std,mean_auc_mean,mean_auc_std,folder_name,source_path
dermamnist,aqhm_net,no_quantum,micro,0,False,cosine,0.0,0.0,1,0.12369077306733167,nan,0.13174420421631255,nan,0.23909535667815357,nan,0.8577035428758867,nan,dermamnist_no_quantum_micro,./results_combinations/dermamnist_no_quantum_micro/summary.json
dermamnist,aqhm_net,none,micro,4,True,cosine,0.0,0.0,1,0.22693266832917705,nan,0.2953202309276974,nan,0.29633177023473917,nan,0.8686822852833662,nan,dermamnist_k4_attenc_micro,./results_combinations/dermamnist_k4_attenc_micro/summary.json
dermamnist,aqhm_net,none,small,1,False,cosine,0.0,0.0,10,0.6473815461346634,0.01999164424346791,0.6449988247668413,0.016406093103627884,0.3625039718028986,0.041668523616338764,0.8750502111279348,0.0076649703782469625,dermamnist,./results/dermamnist/summary.json
mnist,aqhm_net,no_quantum,micro,0,False,cosine,0.0,0.0,1,0.9903,nan,0.9902947700790848,nan,0.9901018253901203,nan,0.9997838829763224,nan,mnist_no_quantum_micro,./results_combinations/mnist_no_quantum_micro/summary.json
mnist,aqhm_net,none,medium,1,False,cosine,0.0,0.0,1,0.9929,nan,0.9928956701605007,nan,0.992773672354432,nan,0.999806524405558,nan,mnist_medium,./results_combinations/mnist_medium/summary.json
mnist,aqhm_net,none,micro,4,True,cosine,0.0,0.0,1,0.9932,nan,0.9932010501597295,nan,0.9931220727826693,nan,0.9998870736876837,nan,mnist_k4_attenc_micro,./results_combinations/mnist_k4_attenc_micro/summary.json
mnist,aqhm_net,none,small,1,False,cosine,0.0,0.0,1,0.0982,nan,0.017561901293024953,nan,0.017883809870697508,nan,0.49413176546412246,nan,mnist,./results/mnist/summary.json
mnist,aqhm_net,none,small,1,False,onecycle,1.0,0.0,1,0.1032,nan,0.019307904278462656,nan,0.018709209572153735,nan,0.48071950818182385,nan,mnist_onecycle_cutmix1.0,./results/mnist_onecycle_cutmix1.0/summary.json
mnist,aqhm_net,none,small,1,False,cosine,0.0,0.0,10,0.9973057493384653,0.0008621396876411307,0.9973067258205013,0.0008621874369761276,0.9972902141930851,0.0008590454374871814,0.9999420951085332,4.503535180753898e-05,mnist_0123,./results/mnist_0123/summary.json
mnist,aqhm_net,none,small,1,False,cosine_restarts,0.0,0.8,1,0.0982,nan,0.017561901293024953,nan,0.017883809870697508,nan,0.4799422445577858,nan,mnist_cosine_restarts_mixup0.8,./results/mnist_cosine_restarts_mixup0.8/summary.json
pathmnist,aqhm_net,no_quantum,micro,0,False,cosine,0.0,0.0,1,0.875766016713092,nan,0.8699563325623798,nan,0.8455681553894085,nan,0.9859493099940226,nan,pathmnist_no_quantum_micro,./results_combinations/pathmnist_no_quantum_micro/summary.json
pathmnist,aqhm_net,none,micro,4,True,cosine,0.0,0.0,1,0.8727019498607242,nan,0.8703856029560922,nan,0.8451654613784119,nan,0.9817343121232166,nan,pathmnist_k4_attenc_micro,./results_combinations/pathmnist_k4_attenc_micro/summary.json
pathmnist,aqhm_net,none,small,1,False,cosine,0.0,0.0,10,0.8138300835654597,0.02611527285554702,0.811507729484742,0.02516804752840862,0.7794140615314736,0.01905675803263913,0.9749298560244144,0.003517084991846484,pathmnist,./results/pathmnist/summary.json
pneumoniamnist,aqhm_net,no_quantum,micro,0,False,cosine,0.0,0.0,1,0.8894230769230769,nan,0.8860543334285642,nan,0.8757499415629951,nan,0.9656804733727811,nan,pneumoniamnist_no_quantum_micro,./results_combinations/pneumoniamnist_no_quantum_micro/summary.json
pneumoniamnist,aqhm_net,none,micro,4,True,cosine,0.0,0.0,1,0.9006410256410257,nan,0.8981383953104963,nan,0.8892654332295292,nan,0.9585798816568047,nan,pneumoniamnist_k4_attenc_micro,./results_combinations/pneumoniamnist_k4_attenc_micro/summary.json
pneumoniamnist,aqhm_net,none,small,1,False,cosine,0.0,0.0,10,0.8839743589743592,0.013831241309984832,0.8799013768080759,0.01556808753489217,0.8687493636359784,0.017790999283807125,0.9603659872890644,0.004771967593737817,pneumoniamnist,./results/pneumoniamnist/summary.json
